"","Gender","EthnicGroup","ParentEduc","TestPrep","ParentMaritalStatus","PracticeSport","IsFirstChild","NrSiblings","TransportMeans","WklyStudyHours","MathScore","ReadingScore","WritingScore","OverallScore"
"24990","male","Negra","associate's degree","none","married","sometimes",1,1,0,"5 - 10",63,52,53,56
"24991","male","Negra","associate's degree","none","married","regularly",0,1,0,"5 - 10",66,63,60,63
"24992","male","Negra","associate's degree","completed","married","sometimes",0,1,1,"5 - 10",87,76,72,78
"24993","male","Hispana","some high school","none","married","sometimes",0,1,1,"5 - 10",74,69,63,69
"24994","female","Negra","bachelor's degree","none","widowed","sometimes",1,1,1,"5 - 10",48,51,55,51
"24995","male","Caucásica","high school","none","married","regularly",0,1,0,"5 - 10",59,54,43,52
"24996","male","Negra","associate's degree","none","married","never",1,1,0,"5 - 10",58,50,49,52
"24999","male","Negra","associate's degree","none","divorced","sometimes",1,1,1,"> 10",74,65,69,69
"25000","male","Caucásica","bachelor's degree","completed","married","sometimes",1,1,1,"< 5",93,98,94,95
"25001","female","Caucásica","bachelor's degree","none","married","sometimes",0,1,1,"5 - 10",63,61,65,63
"25003","female","Asiática","bachelor's degree","none","married","sometimes",0,0,0,"5 - 10",55,63,67,62
"25005","male","Asiática","some high school","completed","married","sometimes",0,1,1,"> 10",63,57,54,58
"25006","male","Negra","some college","none","married","regularly",0,1,0,"> 10",90,71,75,79
"25007","female","Hispana","some college","completed","married","sometimes",1,1,1,"5 - 10",84,99,97,93
"25009","female","Americana","some college","none","married","never",0,1,0,"5 - 10",36,42,39,39
"25012","female","Negra","some college","none","married","sometimes",0,1,0,"< 5",54,60,62,59
"25014","male","Asiática","some college","none","single","regularly",0,1,0,"> 10",70,63,63,65
"25015","male","Hispana","high school","none","married","sometimes",0,1,1,"5 - 10",51,49,53,51
"25016","male","Asiática","some college","completed","married","regularly",1,1,1,"< 5",92,81,85,86
"25017","female","Asiática","high school","none","single","sometimes",0,1,0,"< 5",61,60,65,62
"25019","male","Asiática","some high school","none","married","sometimes",0,1,0,"5 - 10",54,41,41,45
"25020","male","Asiática","some high school","none","single","sometimes",1,1,1,"< 5",58,61,48,56
"25021","female","Hispana","bachelor's degree","completed","married","sometimes",1,1,0,"5 - 10",66,81,84,77
"25023","male","Americana","associate's degree","none","married","regularly",0,1,1,"5 - 10",74,66,63,68
"25026","male","Asiática","some high school","none","married","sometimes",0,1,1,"5 - 10",67,63,59,63
"25028","male","Hispana","master's degree","none","married","sometimes",0,1,1,"< 5",71,68,72,70
"25029","male","Caucásica","high school","completed","single","sometimes",0,0,1,"5 - 10",97,95,92,95
"25031","female","Caucásica","high school","none","married","regularly",1,1,0,"< 5",95,96,88,93
"25032","male","Americana","high school","none","single","regularly",1,1,1,"> 10",73,77,61,70
"25034","female","Negra","associate's degree","none","divorced","sometimes",0,1,1,"< 5",36,58,57,50
"25035","female","Caucásica","some high school","completed","single","sometimes",1,1,0,"5 - 10",55,61,62,59
"25036","male","Hispana","bachelor's degree","none","married","regularly",0,1,1,"> 10",100,92,94,95
"25040","female","Hispana","some college","none","married","never",1,1,0,"5 - 10",57,60,59,59
"25042","female","Hispana","some high school","completed","single","regularly",0,1,0,"> 10",53,65,76,65
"25044","male","Asiática","associate's degree","completed","married","regularly",0,1,0,"< 5",68,70,64,67
"25045","male","Asiática","some high school","none","divorced","sometimes",0,1,1,"< 5",56,49,48,51
"25046","female","Asiática","some high school","none","married","regularly",0,1,1,"< 5",52,57,60,56
"25047","female","Asiática","high school","none","divorced","sometimes",0,1,0,"< 5",59,67,72,66
"25049","male","Negra","associate's degree","none","married","sometimes",0,1,0,"5 - 10",95,89,87,90
"25051","female","Negra","some high school","none","divorced","sometimes",0,1,0,"5 - 10",69,79,72,73
"25052","female","Caucásica","some high school","none","married","sometimes",0,1,1,"5 - 10",65,77,69,70
"25055","male","Caucásica","some high school","completed","married","sometimes",1,1,0,"< 5",58,55,53,55
"25057","female","Negra","some college","completed","married","regularly",0,1,0,"5 - 10",35,40,43,39
"25058","female","Americana","some college","completed","married","sometimes",1,1,1,"> 10",49,54,63,55
"25059","male","Negra","high school","none","divorced","never",0,1,1,"5 - 10",47,49,42,46
"25061","male","Asiática","master's degree","none","married","sometimes",0,1,0,"5 - 10",65,76,65,69
"25063","female","Hispana","associate's degree","none","married","regularly",1,1,1,"5 - 10",46,59,64,56
"25064","male","Hispana","high school","none","single","sometimes",0,1,1,"5 - 10",76,75,74,75
"25065","male","Negra","associate's degree","completed","married","never",1,1,0,"5 - 10",96,94,89,93
"25066","female","Hispana","some college","completed","married","regularly",0,0,1,"5 - 10",82,93,92,89
"25067","female","Hispana","some college","none","married","never",0,1,1,"> 10",69,88,88,82
"25068","female","Asiática","high school","none","married","sometimes",0,1,0,"> 10",58,60,65,61
"25069","male","Asiática","some college","none","single","sometimes",0,1,0,"< 5",49,40,39,43
"25071","female","Asiática","high school","completed","married","regularly",0,1,0,"< 5",63,80,83,75
"25073","female","Caucásica","some college","none","divorced","never",0,1,0,"5 - 10",64,72,69,68
"25074","female","Hispana","associate's degree","none","single","never",0,1,1,"5 - 10",69,85,78,77
"25076","female","Hispana","some college","none","married","regularly",0,0,0,"5 - 10",76,82,82,80
"25077","male","Negra","some college","completed","married","never",0,1,0,"5 - 10",74,66,74,71
"25078","male","Negra","high school","none","married","sometimes",0,1,1,"5 - 10",38,36,32,35
"25080","female","Negra","associate's degree","none","single","sometimes",1,1,0,"< 5",33,48,42,41
"25082","male","Hispana","associate's degree","completed","married","sometimes",1,1,0,"5 - 10",35,50,49,45
"25083","male","Hispana","associate's degree","none","married","regularly",0,1,1,"5 - 10",53,48,45,49
"25084","male","Americana","some college","none","married","sometimes",0,1,1,"> 10",45,45,40,43
"25085","female","Hispana","high school","none","married","regularly",0,1,0,"> 10",61,59,66,62
"25086","female","Hispana","some college","none","married","sometimes",0,1,0,"> 10",56,62,68,62
"25090","female","Hispana","some college","none","married","sometimes",1,1,1,"5 - 10",73,78,82,78
"25091","female","Caucásica","associate's degree","none","married","sometimes",0,0,1,"5 - 10",70,72,77,73
"25092","male","Asiática","high school","none","single","regularly",1,1,0,"< 5",68,58,58,61
"25094","female","Caucásica","high school","none","married","regularly",0,1,0,"5 - 10",55,78,65,66
"25095","male","Hispana","high school","none","single","sometimes",1,1,0,"5 - 10",76,76,68,73
"25096","female","Caucásica","bachelor's degree","completed","married","sometimes",0,0,0,"< 5",89,96,98,94
"25097","female","Caucásica","high school","completed","single","regularly",0,0,1,"5 - 10",67,77,74,73
"25099","female","Negra","high school","none","single","regularly",1,1,1,"5 - 10",45,59,51,52
"25100","male","Negra","associate's degree","completed","divorced","never",1,1,0,"5 - 10",91,90,88,90
"25101","female","Asiática","high school","none","married","sometimes",0,1,1,"5 - 10",42,43,40,42
"25102","male","Hispana","associate's degree","none","married","sometimes",1,1,0,"5 - 10",57,61,56,58
"25103","male","Asiática","some college","none","divorced","sometimes",1,1,0,"5 - 10",90,80,70,80
"25106","female","Asiática","some college","completed","married","regularly",0,1,1,"< 5",49,57,62,56
"25107","female","Caucásica","some high school","completed","single","sometimes",0,1,0,"< 5",87,78,77,81
"25109","female","Negra","associate's degree","completed","single","regularly",1,1,0,"< 5",85,90,95,90
"25110","female","Americana","bachelor's degree","none","divorced","never",0,1,0,"5 - 10",54,64,68,62
"25115","female","Negra","some college","none","married","sometimes",0,1,0,"5 - 10",72,83,77,77
"25118","male","Hispana","associate's degree","completed","single","regularly",1,1,1,"< 5",62,72,73,69
"25119","male","Hispana","some college","completed","married","sometimes",0,1,0,"< 5",91,91,92,91
"25120","female","Caucásica","master's degree","completed","married","regularly",0,1,0,"5 - 10",87,92,92,90
"25121","male","Negra","associate's degree","none","married","regularly",0,1,0,"< 5",60,57,54,57
"25122","male","Caucásica","bachelor's degree","none","married","sometimes",0,1,1,"5 - 10",88,86,81,85
"25123","male","Hispana","bachelor's degree","completed","divorced","sometimes",0,1,1,"5 - 10",100,90,97,96
"25124","male","Negra","bachelor's degree","none","single","regularly",0,1,1,"5 - 10",66,50,48,55
"25125","male","Asiática","master's degree","none","single","regularly",0,1,0,"5 - 10",84,90,84,86
"25126","male","Negra","high school","completed","divorced","sometimes",0,1,0,"< 5",75,68,64,69
"25127","female","Caucásica","high school","none","married","regularly",1,1,0,"> 10",58,60,54,57
"25128","female","Caucásica","some high school","completed","married","regularly",1,1,1,"5 - 10",66,79,79,75
"25130","female","Asiática","some college","none","single","regularly",0,1,0,"< 5",24,38,38,33
"25131","female","Negra","associate's degree","none","married","never",1,1,0,"5 - 10",47,72,64,61
"25133","female","Asiática","associate's degree","completed","married","regularly",1,1,0,"5 - 10",77,83,91,84
"25135","female","Caucásica","some college","none","married","sometimes",1,1,1,"5 - 10",66,69,65,67
"25136","male","Negra","associate's degree","none","married","regularly",0,1,1,"> 10",72,62,62,65
"25137","male","Asiática","some high school","completed","divorced","sometimes",0,1,1,"5 - 10",90,94,93,92
"25139","male","Hispana","some college","none","single","never",1,1,1,"5 - 10",57,56,50,54
"25141","male","Asiática","some high school","completed","married","sometimes",0,0,1,"5 - 10",67,65,64,65
"25143","female","Asiática","associate's degree","none","divorced","regularly",1,1,0,"> 10",59,55,58,57
"25144","male","Caucásica","associate's degree","none","married","regularly",0,1,0,"5 - 10",79,71,68,73
"25146","female","Hispana","some college","none","divorced","regularly",0,0,0,"5 - 10",71,88,87,82
"25151","female","Asiática","associate's degree","completed","married","sometimes",1,1,1,"< 5",67,88,90,82
"25152","male","Negra","high school","completed","married","regularly",1,1,0,"5 - 10",74,81,72,76
"25153","male","Caucásica","master's degree","none","single","sometimes",0,1,1,"5 - 10",75,61,67,68
"25154","male","Hispana","some college","completed","single","sometimes",1,1,1,"< 5",75,70,80,75
"25157","female","Asiática","some high school","none","divorced","regularly",0,1,1,"< 5",45,60,66,57
"25158","male","Americana","high school","none","single","sometimes",0,1,0,"5 - 10",65,65,63,64
"25159","female","Caucásica","some high school","completed","divorced","regularly",0,1,0,"5 - 10",94,100,100,98
"25161","male","Hispana","master's degree","none","divorced","never",1,1,0,"5 - 10",97,83,87,89
"25162","female","Caucásica","bachelor's degree","none","married","regularly",1,1,0,"5 - 10",92,100,98,97
"25163","male","Negra","associate's degree","none","divorced","never",0,1,0,"< 5",52,43,42,46
"25165","male","Hispana","some college","none","divorced","regularly",0,0,0,"5 - 10",85,81,83,83
"25167","female","Negra","some high school","completed","married","sometimes",0,1,0,"5 - 10",66,68,72,69
"25168","male","Hispana","bachelor's degree","completed","single","regularly",0,0,0,"< 5",64,65,69,66
"25169","male","Hispana","associate's degree","none","divorced","never",1,1,0,"5 - 10",33,37,35,35
"25170","female","Caucásica","bachelor's degree","none","single","regularly",0,1,0,"< 5",72,78,79,76
"25172","female","Caucásica","bachelor's degree","completed","divorced","sometimes",1,1,0,"< 5",84,85,90,86
"25175","female","Hispana","associate's degree","completed","divorced","sometimes",0,1,0,"< 5",35,55,58,49
"25176","male","Asiática","high school","completed","divorced","regularly",1,1,0,"< 5",73,64,59,65
"25177","male","Hispana","master's degree","none","married","never",1,1,0,"< 5",86,81,73,80
"25178","female","Hispana","associate's degree","completed","married","regularly",0,1,1,"5 - 10",86,91,94,90
"25179","female","Hispana","associate's degree","none","married","regularly",0,1,1,"5 - 10",52,70,69,64
"25180","female","Americana","associate's degree","none","married","sometimes",1,1,0,"< 5",57,64,64,62
"25181","female","Americana","high school","none","divorced","never",0,1,0,"5 - 10",42,54,50,49
"25182","male","Negra","some college","none","married","regularly",0,1,1,"5 - 10",75,69,67,70
"25184","female","Asiática","high school","none","widowed","sometimes",0,1,1,"5 - 10",48,57,60,55
"25185","male","Asiática","bachelor's degree","none","married","regularly",0,1,0,"5 - 10",65,55,54,58
"25186","male","Negra","associate's degree","none","divorced","regularly",1,1,1,"5 - 10",63,55,54,57
"25187","male","Asiática","high school","none","married","regularly",1,1,1,"5 - 10",80,78,64,74
"25188","female","Hispana","high school","none","married","sometimes",0,1,0,"< 5",46,59,58,54
"25189","male","Asiática","high school","none","single","regularly",0,1,1,"5 - 10",90,81,75,82
"25190","female","Hispana","master's degree","none","married","never",1,1,0,"5 - 10",73,73,80,75
"25191","male","Asiática","some high school","completed","married","sometimes",0,1,1,"< 5",74,82,80,79
"25192","female","Caucásica","some high school","completed","single","never",1,1,1,"< 5",79,85,88,84
"25196","male","Hispana","master's degree","none","single","sometimes",0,1,0,"< 5",95,87,93,92
"25197","female","Asiática","some college","none","married","never",0,1,1,"5 - 10",55,66,62,61
"25199","female","Americana","some college","none","married","sometimes",0,1,0,"< 5",50,62,63,58
"25201","male","Hispana","some high school","completed","married","regularly",0,1,0,"< 5",39,28,34,34
"25202","female","Americana","high school","completed","married","sometimes",0,1,0,"5 - 10",68,74,78,73
"25203","male","Asiática","some high school","none","single","never",0,1,0,"> 10",66,61,59,62
"25204","female","Hispana","some college","completed","single","regularly",0,1,1,"< 5",64,74,80,73
"25205","male","Asiática","associate's degree","none","single","never",0,0,1,"5 - 10",67,56,55,59
"25206","female","Negra","master's degree","completed","married","sometimes",0,1,0,"< 5",79,91,89,86
"25207","male","Hispana","high school","none","married","never",0,1,1,"> 10",85,72,63,73
"25209","female","Asiática","high school","none","married","sometimes",1,1,0,"5 - 10",52,63,59,58
"25210","female","Asiática","associate's degree","none","married","regularly",1,1,0,"< 5",55,65,59,60
"25213","male","Asiática","master's degree","none","single","sometimes",0,1,0,"< 5",75,65,64,68
"25214","female","Americana","high school","completed","divorced","sometimes",0,1,1,"< 5",69,84,79,77
"25216","female","Caucásica","master's degree","none","divorced","sometimes",0,1,0,"5 - 10",56,63,63,61
"25217","male","Americana","associate's degree","completed","single","sometimes",0,0,1,"> 10",39,45,43,42
"25219","male","Hispana","bachelor's degree","none","single","regularly",0,1,0,"5 - 10",78,70,69,72
"25221","male","Asiática","associate's degree","none","married","sometimes",1,1,1,"5 - 10",75,61,59,65
"25224","female","Asiática","high school","none","single","sometimes",1,1,0,"< 5",51,60,62,58
"25225","female","Caucásica","high school","none","single","sometimes",0,1,0,"5 - 10",49,65,56,57
"25226","male","Hispana","some high school","none","single","regularly",0,1,0,"5 - 10",70,70,64,68
"25227","female","Hispana","associate's degree","none","single","sometimes",0,1,0,"< 5",60,82,77,73
"25229","male","Negra","bachelor's degree","none","married","sometimes",0,1,1,"> 10",81,80,84,82
"25231","female","Asiática","some college","none","married","sometimes",0,1,0,"5 - 10",60,74,73,69
"25232","female","Asiática","some college","completed","married","regularly",1,1,0,"5 - 10",100,100,100,100
"25234","female","Negra","high school","none","divorced","sometimes",0,0,1,"5 - 10",60,62,62,61
"25235","female","Asiática","high school","none","married","sometimes",0,1,0,"< 5",33,45,47,42
"25236","male","Asiática","high school","none","divorced","sometimes",0,1,0,"5 - 10",45,34,29,36
"25238","male","Asiática","high school","none","single","sometimes",1,1,1,"5 - 10",73,72,73,73
"25239","female","Negra","high school","none","single","never",1,1,0,"5 - 10",67,75,74,72
"25240","female","Caucásica","bachelor's degree","none","married","sometimes",0,1,0,"5 - 10",64,72,72,69
"25243","male","Asiática","associate's degree","none","single","sometimes",1,1,1,"> 10",61,54,49,55
"25244","male","Negra","some high school","none","divorced","sometimes",0,0,1,"> 10",47,45,43,45
"25245","female","Americana","associate's degree","none","married","sometimes",0,1,1,"5 - 10",96,89,96,94
"25246","female","Asiática","associate's degree","completed","single","regularly",1,1,1,"5 - 10",58,66,69,64
"25247","male","Negra","some college","none","married","regularly",0,1,0,"5 - 10",71,61,66,66
"25249","female","Negra","some high school","none","married","never",0,1,1,"5 - 10",59,73,65,66
"25250","male","Asiática","high school","completed","single","sometimes",0,1,0,"5 - 10",82,81,83,82
"25251","male","Asiática","some high school","completed","divorced","sometimes",0,1,1,"> 10",85,81,78,81
"25253","male","Asiática","associate's degree","none","married","regularly",0,1,1,"> 10",74,67,66,69
"25254","female","Negra","some college","completed","married","regularly",0,1,1,"< 5",63,72,75,70
"25255","male","Caucásica","high school","none","divorced","regularly",0,1,0,"5 - 10",56,51,50,52
"25258","female","Americana","master's degree","none","married","sometimes",0,1,1,"5 - 10",52,69,64,62
"25263","female","Hispana","some college","none","divorced","sometimes",0,1,0,"5 - 10",79,90,87,85
"25265","female","Asiática","some college","none","married","regularly",0,1,1,"5 - 10",98,95,94,96
"25267","female","Asiática","some high school","completed","divorced","never",0,0,0,"5 - 10",47,65,64,59
"25269","female","Hispana","some college","completed","single","regularly",1,1,1,"5 - 10",100,98,100,99
"25272","male","Asiática","some college","none","single","sometimes",1,1,1,"5 - 10",45,50,46,47
"25273","female","Asiática","master's degree","completed","married","sometimes",0,1,0,"5 - 10",53,62,66,60
"25274","female","Hispana","high school","none","married","sometimes",0,1,1,"< 5",27,37,37,34
"25275","male","Asiática","some college","none","married","never",0,1,1,"5 - 10",66,52,49,56
"25276","female","Asiática","master's degree","none","married","never",1,1,0,"5 - 10",58,73,75,69
"25279","female","Asiática","some high school","completed","widowed","never",0,1,1,"5 - 10",48,51,51,50
"25280","female","Asiática","high school","completed","divorced","sometimes",1,1,1,"5 - 10",60,70,72,67
"25281","male","Asiática","associate's degree","none","married","regularly",0,1,0,"< 5",56,54,53,54
"25282","male","Hispana","some high school","none","married","sometimes",0,1,1,"5 - 10",57,54,48,53
"25286","female","Hispana","some high school","none","single","sometimes",0,1,1,"< 5",77,92,88,86
"25289","male","Caucásica","associate's degree","completed","divorced","never",1,1,0,"< 5",78,75,69,74
"25290","male","Hispana","some high school","completed","divorced","sometimes",1,1,1,"5 - 10",78,79,80,79
"25291","male","Asiática","master's degree","none","single","regularly",0,1,1,"5 - 10",66,69,62,66
"25300","female","Asiática","associate's degree","none","single","never",1,1,0,"5 - 10",54,69,67,63
"25302","female","Negra","high school","completed","married","regularly",1,1,1,"5 - 10",93,97,100,97
"25304","male","Asiática","master's degree","none","married","sometimes",0,1,0,"> 10",50,44,46,47
"25306","male","Americana","some college","completed","married","sometimes",0,1,0,"> 10",83,86,81,83
"25307","male","Negra","some college","none","single","sometimes",0,1,1,"< 5",84,74,78,79
"25308","female","Hispana","associate's degree","completed","married","regularly",0,1,1,"5 - 10",64,73,72,70
"25309","female","Negra","some high school","none","single","sometimes",0,1,1,"> 10",62,56,62,60
"25312","female","Hispana","high school","none","divorced","regularly",0,1,0,"5 - 10",75,82,82,80
"25313","female","Hispana","associate's degree","none","married","sometimes",0,1,1,"> 10",46,51,51,49
"25315","female","Negra","some college","completed","married","sometimes",0,1,0,"5 - 10",54,62,64,60
"25316","male","Hispana","master's degree","none","married","regularly",0,0,0,"< 5",67,58,66,64
"25317","female","Asiática","some college","completed","divorced","regularly",1,1,0,"< 5",50,53,58,54
"25318","male","Negra","associate's degree","completed","married","sometimes",0,1,0,"5 - 10",67,81,75,74
"25319","male","Hispana","some college","completed","single","sometimes",0,1,1,"> 10",40,40,41,40
"25324","female","Hispana","associate's degree","none","married","never",1,1,1,"5 - 10",72,74,84,77
"25326","male","Hispana","some high school","none","married","sometimes",0,1,0,"5 - 10",70,73,67,70
"25327","female","Americana","some high school","none","single","never",0,1,1,"> 10",44,58,58,53
"25328","male","Caucásica","high school","none","divorced","regularly",0,1,0,"< 5",71,59,62,64
"25333","female","Asiática","high school","none","married","never",0,1,0,"5 - 10",36,52,46,45
"25334","female","Negra","some college","completed","married","sometimes",1,1,1,"5 - 10",57,72,76,68
"25335","female","Asiática","high school","none","married","regularly",1,1,0,"5 - 10",92,90,87,90
"25337","female","Negra","associate's degree","completed","widowed","sometimes",0,1,1,"> 10",59,65,67,64
"25338","male","Americana","some high school","none","single","sometimes",0,0,0,"< 5",69,61,57,62
"25340","male","Asiática","some college","completed","married","never",1,1,1,"> 10",66,67,72,68
"25342","male","Asiática","some high school","none","married","never",0,1,0,"< 5",53,56,50,53
"25343","female","Americana","some college","none","married","sometimes",1,1,1,"5 - 10",48,44,45,46
"25344","male","Caucásica","some college","none","single","regularly",1,1,1,"5 - 10",67,51,55,58
"25345","male","Negra","some high school","completed","married","regularly",1,1,0,"5 - 10",51,41,42,45
"25346","female","Negra","associate's degree","none","married","regularly",0,0,1,"5 - 10",65,64,70,66
"25347","male","Caucásica","some college","none","married","regularly",1,1,0,"> 10",86,73,69,76
"25348","female","Hispana","some high school","none","divorced","sometimes",0,1,0,"> 10",51,58,58,56
"25349","male","Asiática","bachelor's degree","none","single","sometimes",0,1,1,"5 - 10",56,62,57,58
"25351","male","Hispana","some college","completed","married","regularly",0,1,0,"5 - 10",66,61,67,65
"25352","male","Asiática","some college","completed","single","regularly",0,1,0,"< 5",71,68,72,70
"25353","female","Hispana","some high school","completed","married","sometimes",0,1,0,"> 10",53,64,64,60
"25354","female","Asiática","some high school","completed","married","regularly",0,1,0,"> 10",76,80,79,78
"25355","male","Hispana","some college","none","married","regularly",0,1,0,"< 5",55,62,57,58
"25356","female","Caucásica","some college","completed","married","sometimes",0,1,1,"5 - 10",63,77,77,72
"25357","male","Negra","associate's degree","none","married","sometimes",0,1,1,"< 5",64,70,63,66
"25359","male","Asiática","some high school","none","divorced","sometimes",0,0,0,"5 - 10",69,56,56,60
"25360","male","Caucásica","associate's degree","none","single","never",1,1,0,"5 - 10",63,63,60,62
"25361","male","Caucásica","master's degree","none","married","sometimes",1,1,0,"< 5",67,60,63,63
"25362","male","Asiática","some high school","completed","divorced","regularly",0,1,0,"< 5",45,42,43,43
"25363","female","Negra","some college","none","married","sometimes",0,1,1,"5 - 10",65,74,80,73
"25364","female","Hispana","high school","completed","married","regularly",0,1,0,"5 - 10",88,90,92,90
"25365","male","Asiática","high school","none","married","sometimes",0,1,0,"5 - 10",54,50,41,48
"25366","male","Hispana","some high school","none","divorced","never",0,1,1,"5 - 10",64,69,64,66
"25367","female","Negra","associate's degree","completed","divorced","sometimes",0,1,0,"< 5",48,66,69,61
"25368","female","Hispana","some college","none","divorced","regularly",0,1,1,"5 - 10",73,81,84,79
"25370","female","Americana","some high school","none","married","sometimes",0,1,1,"< 5",56,63,57,59
"25372","male","Americana","some college","none","married","never",0,1,1,"> 10",69,72,66,69
"25374","male","Hispana","bachelor's degree","none","married","regularly",0,1,1,"5 - 10",77,66,66,70
"25378","male","Caucásica","master's degree","none","divorced","sometimes",0,1,1,"5 - 10",96,87,89,91
"25379","female","Caucásica","bachelor's degree","none","single","never",0,1,1,"5 - 10",88,88,89,88
"25380","male","Asiática","some high school","completed","divorced","never",1,1,1,"> 10",77,71,72,73
"25382","female","Asiática","some college","completed","single","sometimes",1,1,0,"< 5",58,69,71,66
"25385","female","Americana","high school","none","married","sometimes",0,1,1,"5 - 10",38,52,49,46
"25386","female","Asiática","some high school","none","divorced","sometimes",0,1,1,"< 5",42,42,44,43
"25391","male","Negra","some high school","completed","divorced","sometimes",0,1,0,"5 - 10",41,50,43,45
"25392","female","Asiática","master's degree","none","married","regularly",0,0,1,"5 - 10",60,64,68,64
"25394","female","Caucásica","master's degree","completed","married","regularly",0,1,1,"5 - 10",88,84,93,88
"25397","female","Negra","some college","completed","married","sometimes",0,1,1,"< 5",57,61,64,61
"25398","male","Asiática","some high school","completed","widowed","sometimes",0,1,0,"5 - 10",71,75,73,73
"25399","female","Hispana","associate's degree","completed","divorced","never",1,1,0,"5 - 10",77,87,84,83
"25400","male","Asiática","some high school","none","single","sometimes",1,1,0,"5 - 10",47,46,42,45
"25401","female","Asiática","high school","none","divorced","regularly",0,0,0,"< 5",59,64,61,61
"25402","male","Negra","associate's degree","none","married","regularly",1,1,0,"5 - 10",83,81,84,83
"25403","male","Negra","some high school","none","divorced","regularly",1,1,0,"> 10",77,63,59,66
"25404","male","Caucásica","high school","none","married","sometimes",0,1,1,"5 - 10",75,68,58,67
"25405","female","Asiática","some high school","none","married","sometimes",0,1,0,"5 - 10",53,69,61,61
"25406","female","Asiática","some high school","none","married","regularly",1,1,0,"< 5",76,79,82,79
"25407","male","Negra","associate's degree","none","married","sometimes",0,1,0,"< 5",66,62,63,64
"25408","female","Hispana","some college","completed","married","sometimes",0,1,0,"< 5",53,66,65,61
"25409","female","Americana","associate's degree","none","divorced","regularly",0,1,0,"5 - 10",72,84,83,80
"25411","male","Negra","some high school","none","divorced","never",0,1,0,"5 - 10",69,63,55,62
"25412","female","Caucásica","some high school","none","divorced","sometimes",1,1,0,"5 - 10",69,69,61,66
"25414","female","Asiática","high school","none","divorced","regularly",1,1,1,"> 10",46,57,56,53
"25415","male","Negra","some college","completed","widowed","regularly",1,1,0,"< 5",75,71,72,73
"25417","female","Hispana","associate's degree","none","single","regularly",1,1,0,"> 10",71,69,70,70
"25418","male","Asiática","some high school","completed","divorced","sometimes",1,1,1,"< 5",74,75,65,71
"25419","male","Hispana","some college","none","single","sometimes",0,1,1,"< 5",71,72,69,71
"25422","female","Asiática","high school","none","single","regularly",0,1,1,"< 5",52,72,68,64
"25423","female","Caucásica","some college","completed","divorced","sometimes",1,1,0,"5 - 10",77,73,81,77
"25426","female","Caucásica","some high school","completed","single","regularly",1,1,0,"5 - 10",41,59,53,51
"25428","female","Asiática","associate's degree","none","married","never",0,1,1,"> 10",70,80,78,76
"25429","female","Asiática","some high school","none","married","never",0,0,1,"< 5",49,61,58,56
"25431","female","Hispana","some college","none","married","regularly",0,1,1,"< 5",55,63,68,62
"25433","male","Hispana","some college","none","married","sometimes",0,1,0,"> 10",90,83,83,85
"25434","female","Hispana","master's degree","none","married","sometimes",1,1,0,"< 5",68,66,76,70
"25436","female","Hispana","some high school","none","divorced","regularly",0,0,1,"5 - 10",62,61,71,65
"25437","male","Hispana","bachelor's degree","none","married","regularly",0,1,0,"< 5",51,60,61,57
"25438","male","Caucásica","associate's degree","completed","single","sometimes",0,1,0,"> 10",88,83,88,86
"25439","female","Hispana","bachelor's degree","none","divorced","regularly",0,1,1,"5 - 10",76,91,92,86
"25440","male","Caucásica","some college","completed","married","never",0,1,0,"5 - 10",71,65,73,70
"25441","male","Hispana","some college","none","divorced","regularly",0,0,0,"5 - 10",82,76,79,79
"25442","male","Americana","associate's degree","none","married","regularly",0,1,1,"> 10",29,29,27,28
"25444","male","Asiática","master's degree","completed","single","sometimes",1,1,0,"5 - 10",65,57,58,60
"25445","male","Caucásica","some college","none","single","sometimes",1,1,1,"< 5",59,56,49,55
"25449","female","Caucásica","high school","none","married","sometimes",0,0,0,"5 - 10",62,62,62,62
"25450","female","Asiática","bachelor's degree","completed","married","sometimes",0,1,0,"5 - 10",73,82,86,80
"25453","female","Negra","some high school","none","married","regularly",0,1,0,"> 10",60,72,64,65
"25454","male","Asiática","bachelor's degree","none","single","regularly",0,1,0,"5 - 10",35,31,31,32
"25455","male","Hispana","associate's degree","none","divorced","sometimes",1,1,0,"5 - 10",73,57,63,64
"25456","female","Negra","some college","completed","married","sometimes",0,1,0,"> 10",84,85,94,88
"25457","male","Caucásica","some high school","none","single","sometimes",0,1,0,"5 - 10",76,74,67,72
"25460","female","Asiática","bachelor's degree","none","divorced","regularly",0,1,0,"< 5",41,44,47,44
"25464","female","Hispana","some high school","none","married","sometimes",0,1,1,"> 10",85,90,88,88
"25468","female","Caucásica","high school","none","married","sometimes",0,0,1,"< 5",64,67,66,66
"25469","female","Asiática","master's degree","none","married","never",0,1,1,"< 5",47,49,54,50
"25471","male","Caucásica","some college","completed","married","never",1,1,0,"< 5",79,75,65,73
"25472","male","Caucásica","some high school","none","single","sometimes",1,1,1,"< 5",69,68,66,68
"25473","male","Negra","master's degree","none","married","regularly",1,1,0,"5 - 10",65,79,67,70
"25474","male","Hispana","some high school","completed","divorced","never",0,1,1,"5 - 10",56,68,70,65
"25476","male","Hispana","associate's degree","completed","married","regularly",0,1,1,"5 - 10",66,60,59,62
"25477","male","Caucásica","some high school","none","married","regularly",0,1,0,"> 10",99,81,80,87
"25478","male","Asiática","some college","none","married","regularly",0,1,0,"> 10",86,81,73,80
